0,"air conditioning, heating, lift, family rooms, disabled friendly facilities, shopping, game room, slippers, bath, toilet, free toiletries, bathrobe, hairdryer, shower, wardrobe, outdoor pool, balcony, terrace, garden, electric kettle, kitchen, kitchen, ironing facilities, ironing facilities, safety deposit box, pets are not allowed, cycling, table tennis court, dining area, sofa, seating area, desk, flat-screen television, satellite channels, telephone, breakfast in the room, room service, minibar, free wi-fi, free! free public parking is possible on site(reservation is not needed), airport shuttle(surcharge), car rental, bicycle rental, atm/banking, luggage storage, safety deposit box, express check-in/check-out/check-out, newspapers, 24/7 front desk, children's playground, trouser press, ironing facilities, ELDC, ELDC"
1,"air conditioning, family rooms, linen, towels, bath, toilet, free toiletries, shower, dressing room, extra long beds(> 2 metres), outdoor pool, garden, detached, oven, tumble dryer, washing machine, kitchen, refrigerator, kitchen, upper floors accessible by stairs only, tile/marble floor, fan, garden view, pets are not allowed, sofa, desk, flat-screen television, satellite channels, no internet access available, free! free public parking is possible on site(reservation is not needed), airport shuttle(surcharge), car rental, daily housekeeping"
2,"air conditioning, lift, bath, toilet, free toiletries, shower, fitness centre, pets are not allowed, dining area, sofa, seating area, desk, flat-screen television, satellite channels, telephone, room service, free wi-fi, free! free public parking is possible at a location nearby(reservation is not needed), airport shuttle(surcharge), car rental, newspapers, 24/7 front desk, ELDC, ELDC"
3,"bath, toilet, free toiletries, shower, wardrobe, balcony, garden, tile/marble floor, fan, air conditioning, pets are allowed, desk, flat-screen television, cable channels, telephone, room service, restaurant, free wi-fi, free! free private parking is possible on site(reservation is not needed), car rental, concierge, tour desk, newspapers, 24/7 front desk, ELDC"
4,"air conditioning, lift, towels, bath, toilet, free toiletries, shower, wardrobe, terrace, shared kitchen, electric kettle, fan, pets are not allowed, flat-screen television, cable channels, satellite channels, room service, free wi-fi, free! free public parking is possible at a location nearby(reservation is not needed), 24/7 front desk, daily housekeeping, ELDC, ELDC"
5,"air conditioning, lift, family rooms, non smoking room, library, linen, towels, bath, toilet, free toiletries, hairdryer, wardrobe, sun terrace, barbeque, terrace, garden, stovetop, oven, kitchenware, electric kettle, washing machine, kitchen, refrigerator, tile/marble floor, private entrance, fan, ironing facilities, ironing facilities, safety deposit box, wake up call, pets are not allowed, darts, seating area, flat-screen television, cable channels, satellite channels, dvd player, radio, telephone, vending machine, special diet menus(on request), snack bar, restaurant, packed lunches, breakfast in the room, room service, free wi-fi, fppps, airport shuttle(surcharge), car rental, concierge, luggage storage, tour desk, currency exchange, safety deposit box, newspapers, 24/7 front desk, babysitting, trouser press, shoe shine, ironing facilities, ELDC, ELDC, fax/photocopying/fax business centre"
6,"bath, toilet, shower, fitness centre, air conditioning, wake up call, pets are not allowed, seating area, desk, flat-screen television, satellite channels, free wi-fi, free! free public parking is possible on site(reservation is not needed), car rental, luggage storage, 24/7 front desk, ironing facilities, ELDC"
7,"air conditioning, family rooms, bath, toilet, shower, refrigerator, kitchen, fan, wake up call, pets are not allowed, dining area, sofa, seating area, desk, flat-screen television, satellite channels, room service, free wi-fi, free! free private parking is possible on site(reservation is not needed), luggage storage, tour desk, 24/7 front desk, ironing facilities, ELDC"
8,"bath, toilet, shower, wardrobe, balcony, kitchenware, electric kettle, kitchen, kitchen, refrigerator, fan, wake up call, pets are not allowed, dining area, sofa, seating area, desk, satellite channels, television, room service, free wi-fi, fppps, car rental, express check-in/check-out/check-out, newspapers, daily housekeeping, ELDC"
9,"air conditioning, soundproof rooms, lift, family rooms, outdoor pool, outdoor pool, pets are not allowed, tennis court court, breakfast in the room, no internet access available, fppps, children television networks, ELDC"
10,"air conditioning, soundproof rooms, lift, shopping, beauty salon, bath, toilet, free toiletries, hairdryer, shower, wardrobe, massage, spa, fitness centre, barbeque, terrace, refrigerator, kitchen, hardwood/parquet floors, interconnecting rooms, fan, ironing facilities, pets are not allowed, sofa, seating area, desk, flat-screen television, satellite channels, cd player, telephone, room service, restaurant, minibar, free wi-fi, fppps, car rental, concierge, luggage storage, tour desk, safety deposit box, newspapers, 24/7 front desk, ELDC, ELDC, business centre, conference facilities"
11,"designated smoking area, air conditioning, heating, family rooms, toilet paper, linen, towels, towels/sheets(extra fee), bath, bath, toilet, free toiletries, bathrobe, hairdryer, shower, wardrobe, massage, outdoor dining area, outdoor furniture, sun terrace, terrace, private flat in building, dining area, cleaning products, stovetop, oven, tumble dryer, kitchenware, electric kettle, kitchen, washing machine, kitchen, refrigerator, drying rack for clothing, clothes rack, mosquito net, tile/marble floor, soundproof rooms, private entrance, fan, ironing facilities, ironing facilities, safety deposit box, pets are allowed on request, golf course course(within 3 km), dining area, sofa, seating area, desk, game console, game console, flat-screen television, cable channels, satellite channels, cd player, radio, television, grocery deliveries deliveries, tea/coffee maker, free wi-fi, free! free private parking is possible on site(reservation is not needed), airport shuttle(surcharge), shuttle service(surcharge), car rental, children television networks, books, dvds, music for children, board games/puzzles, books, dvds, music for children, board games/puzzles, daily housekeeping, ironing facilities, ELDC, ELDC"
12,"air conditioning, soundproof rooms, family rooms, bath, toilet, shower, kitchen, refrigerator, wake up call, pets are not allowed, dining area, sofa, seating area, desk, satellite channels, television, breakfast in the room, room service, free wi-fi, free! free private parking is possible on site(reservation is not needed), airport shuttle(surcharge), car rental, luggage storage, ticket service, currency exchange, newspapers, 24/7 front desk, trouser press, shoe shine, ironing facilities, ELDC, ELDC, fax/photocopying"
13,"room service, restaurant, airport shuttle(surcharge), babysitting, bar/lounge, doctor on call, parking, front desk, restaurant, tour guide, 24/7 front desk, wake up call, massage, bike on rent, extra person/child - share the same room, newspapers in lobby, room service"
14,"room service, airport shuttle(surcharge), bar/lounge, lockers, tour guide, garden, pnd, bike on rent, car rental, yoga, guide service, restaurant, room service"
15,"room service, restaurant, airport shuttle(surcharge), business centre, concierge, doctor on call, ELDC, parking, front desk, tour guide, 24/7 front desk, luggage storage, welcome drinks, wake up call, coffee shop, taxi services, food facility, free internet access, room service, parking facility"
16,"room service, business centre, ELDC, parking, front desk, lockers, power, garden, free internet access, outdoor parking, parking facility"
17,"garden, pets are not allowed, beachfront, bicycle rental, massage, spa, breakfast in the room, free! wifi is available in public areas and is free of charge, no parking available, car rental, currency exchange, ELDC"
18,"internet access, doctor on call, internet access, ELDC, parking, tour guide, welcome drinks, power, garden, dance performances(on demand), nature walk, veranda, horse riding, car rental, newspapers in lobby, guide service, outdoor parking, parking facility"
19,"airport shuttle(surcharge), ELDC, parking, front desk, lockers, power, atm/banking, smoking area, taxi services, free internet access, drinking water, outdoor parking, parking facility, pest control facility, suites"
20,"room service, airport shuttle(surcharge), beauty salon, currency exchange, doctor on call, internet access, lift, lobby, parking, pets allowed, front desk, tour guide, doorman, welcome drinks, wake up call, separate sitting area, smoking room, atm/banking, kitchen, free local calls, smoking area, veranda, veg/non veg kitchens separate, vegetarian food/jain food available, car rental, taxi services, food facility, newspapers in lobby, party hall, air/rail booking, std/isd, outdoor parking, parking facility, room service, full time operation for all 7 days, paid transfers, public restrooms"
21,"room service, internet access, business centre, concierge, currency exchange, disabled friendly facilities, doctor on call, ELDC, internet access, ELDC, lift, lobby, parking, front desk, restaurant, lockers, non smoking hotel, tour guide, 24/7 front desk, luggage storage, doorman, air conditioning, power, express check-in/check-out/check-out, garden, wake up call, suitable for children, separate sitting area, coffee shop, atm/banking, fax/photocopying/fax kitchen, electronic/magnetic keys, cell phone rental, pnd, extra person/child - share the same room, car rental, ELDC, drinking water, taxi services, city shuttle service, food facility, drivers rest room, newspapers in lobby, postal/parcel services, room service, air/rail booking, courier service, photocopying/fax/photocopying(reception area only), adjoining rooms, drinking water, outdoor parking, parking facility"
22,"internet access, doctor on call, internet access, parking, front desk, tennis court court, badmintton court, free internet access"
23,"room service, airport shuttle(surcharge), currency exchange, doctor on call, games zone, ELDC, library, non smoking room, front desk, lockers, tour guide, major credit cards accepted, 24/7 front desk, welcome drinks, power, express check-in/check-out/check-out, wake up call, massage, boating, pnd, nature walk, camel ride, bike on rent, village visit(chargeable), car rental, ELDC, taxi services, city shuttle service, rooftop garden, newspapers in lobby, postal/parcel services, family rooms, room service, spa, air/rail booking, baggage room, courier service, guide service"
24,"parking, lockers, power, garden, parking facility"
25,"room service, doctor on call, parking, table tennis court, garden, conference facilities, pool table, free internet access, parking facility, room service"
26,"doctor on call, parking, front desk, 24/7 front desk, power, fax/photocopying/fax karaoke, newspapers in lobby, room service"
27,"room service, doctor on call, ELDC, lobby, parking, front desk, lockers, major credit cards accepted, 24/7 front desk, air conditioning, power, garden, atm/banking, kitchen, ELDC, drinking water, taxi services, drivers rest room, newspapers in lobby, room service, outdoor parking, parking facility, internet access"
28,"room service, airport shuttle(surcharge), doctor on call, ELDC, lobby, non smoking room, parking, front desk, major credit cards accepted, 24/7 front desk, medical assistance available, power, separate sitting area, extra person/child - share the same room, taxi services, food facility, free internet access, newspapers in lobby, drinking water, parking facility, room service"
29,"ELDC, front desk, 24/7 front desk, welcome drinks, conference facilities, food facility, newspapers in lobby, room service, cook services, parking facility"
30,"doctor on call, ELDC, ELDC, non smoking room, parking, front desk, 24/7 front desk, medical assistance available, welcome drinks, porter, suitable for children, grocery deliveries, smoking room, atm/banking, vegetarian food/jain food available, car rental, taxi services, newspapers in lobby, electronic check-out, air/rail booking, baggage room, drinking water, parking facility, room service"
31,"room service, internet access, restaurant, airport shuttle(surcharge), babysitting, barbeque, beauty salon, business centre, concierge, currency exchange, doctor on call, ELDC, games zone, gift shop, internet access, ELDC, library, parking, pets allowed, front desk, restaurant, tour guide, hookah lounge, luggage storage, medical assistance available, welcome drinks, garden, wedding service, dance performances(on demand), translation and interpretation services, multilingual staff, wake up call, porter, suitable for children, separate sitting area, grocery deliveries, conference facilities, smoking room, access via exterior corridors, kitchen, multi - line phone, fire place, picnic area, cell phone rental, massage, safari, pnd, skiing facility available facility available, nature walk, smoking area, veranda, transfers available, bike on rent, veg/non veg kitchens separate, shopping, in house events, vegetarian food/jain food available, extra person/child - share the same room, village visit(chargeable), car rental, ELDC, kids play zone, meditation room, self check - in, taxi services, badmintton court, campfire/bon fire, food facility, drivers rest room, free internet access, newspapers in lobby, children's playground, family rooms, cook services, air/rail booking, std/isd, baggage room, ski storage, guide service, adjoining rooms, outdoor parking, parking facility, internet access, room service, fishing, trekking, fire safety, recreation zone, anti-slip ramps, cctelevision, fire exit signs, first-aid kit at front desk, pest control facility, restaurant, suites"
32,"spa, airport shuttle(surcharge), currency exchange, doctor on call, health club/gym, ELDC, parking, front desk, restaurant, doorman, welcome drinks, power, garden, multilingual staff, porter, separate sitting area, smoking room, picnic area, veranda, extra person/child - share the same room, car rental, taxi services, newspapers in lobby, party hall, std/isd, baggage room, courier service, adjoining rooms, drinking water, outdoor parking, parking facility"
33,"room service, airport shuttle(surcharge), banquet facilities, doctor on call, ELDC, ELDC, parking, front desk, non smoking hotel, major credit cards accepted, air conditioning, power, exhibit space, separate sitting area, access via exterior corridors, pnd, extra person/child - share the same room, ELDC, drinking water, taxi services, free internet access, newspapers in lobby, laptop rental, drinking water, outdoor parking, room service, cctelevision, paid transfers, public restrooms, suites"
34,"ELDC, parking, front desk, power, food facility, room service, porter, public restrooms"
35,"room service, airport shuttle(surcharge), business centre, doctor on call, ELDC, ELDC, lobby, non smoking room, parking, front desk, lockers, 24/7 front desk, luggage storage, medical assistance available, welcome drinks, power, express check-in/check-out/check-out, translation and interpretation services, wake up call, free local calls, transfers available, taxi services, free internet access, newspapers in lobby, family rooms, baggage room, courier service, parking facility"
36,"room service, doctor on call, ELDC, parking, front desk, free internet access, parking facility, room service"
37,"room service, doctor on call, ELDC, lobby, parking, power, garden, transfers available, free internet access, newspapers in lobby, parking facility, room service"
38,"internet access, airport shuttle(surcharge), doctor on call, ELDC, internet access, ELDC, library, lobby, parking, non smoking hotel, major credit cards accepted, luggage storage, medical assistance available, power, garden, wake up call, smoking room, vegetarian food/jain food available, extra person/child - share the same room, ELDC, newspapers in lobby, postal/parcel services, std/isd, outdoor parking, parking facility"
39,"internet access, airport shuttle(surcharge), doctor on call, ELDC, internet access, ELDC, tour guide, free internet access"
40,"beauty salon, billiards, bowling, business centre"
