0,"bathroom, toilet, kitchenware, electric kettle, kitchen, microwave, dining area, sofa, seating area, satellite channels, express check-in/check-out, daily maid service, laundry"
1,"bathroom, toilet, seating area, flat-screen tv, luggage storage, ironing service, laundry"
2,"air conditioning, heating, lift, family rooms, slippers, bathroom, toilet, free toiletries, bathrobe, hairdryer, outdoor pool, balcony, terrace, electric kettle, microwave, ironing facilities, iron, cycling, dining area, sofa, seating area, flat-screen tv, satellite channels, breakfast in the room, room service, airport shuttle(surcharge), car hire, atm/cash machine on site, luggage storage, safety deposit box, express check-in/check-out, newspapers, trouser press, ironing service, dry cleaning"
3,"air conditioning, bathroom, toilet, refrigerator, dining area, sofa, seating area, flat-screen tv, luggage storage, tour desk, ironing service, laundry"
4,"air conditioning, soundproof rooms, lift, outdoor pool(all year)"
5,"air conditioning, soundproof rooms, bathroom, toilet, kitchen, dining area, sofa, seating area, satellite channels, breakfast in the room, airport shuttle(surcharge), luggage storage, ticket service, currency exchange, newspapers, trouser press, shoeshine, ironing service, dry cleaning"
6,"air conditioning, lift, family rooms, linen, towels, bathroom, toilet, free toiletries, sun terrace, bbq facilities, terrace, stovetop, oven, kitchenware, electric kettle, washing machine, microwave, tile/marble floor, private entrance, fan, ironing facilities, iron, flat-screen tv, cable channels, satellite channels, dvd player, radio, vending machine(drinks), special diet menus(on request), snack bar, restaurant(à la carte), packed lunches, breakfast in the room, airport shuttle(surcharge), concierge service, luggage storage, tour desk, currency exchange, safety deposit box, newspapers, trouser press, shoeshine, ironing service, dry cleaning, fax/photocopying"
7,"air conditioning, linen, towels, bathroom, toilet, free toiletries, dressing room, outdoor pool, oven, tumble dryer, washing machine, microwave, refrigerator, tile/marble floor, sofa, flat-screen tv, airport shuttle(surcharge)"
8,"bathroom, toilet, free toiletries, balcony, tile/marble floor, fan, flat-screen tv, cable channels, room service, concierge service, tour desk, newspapers, laundry"
9,"air conditioning, bathroom, toilet, free toiletries, dining area, sofa, seating area, flat-screen tv, satellite channels, airport shuttle(surcharge), newspapers, dry cleaning"
10,"air conditioning, soundproof rooms, shops(on site), bathroom, toilet, free toiletries, hairdryer, massage, spa and wellness centre, bbq facilities, refrigerator, hardwood/parquet floors, interconnected room(s) available, fan, sofa, seating area, flat-screen tv, satellite channels, cd player, room service, restaurant, concierge service, luggage storage, tour desk, safety deposit box, newspapers, dry cleaning, business centre, meeting/banquet facilities"
11,"air conditioning, towels, bathroom, toilet, free toiletries, shared kitchen, flat-screen tv, cable channels, daily maid service, dry cleaning"
12,"designated smoking area, air conditioning, heating, toilet paper, linen, towels, towels/sheets(extra fee), bath or shower, bathroom, toilet, free toiletries, bathrobe, hairdryer, outdoor dining area, outdoor furniture, sun terrace, dining table, cleaning products, stovetop, oven, tumble dryer, kitchenware, electric kettle, kitchen, washing machine, microwave, drying rack for clothing, clothes rack, mosquito net, tile/marble floor, soundproofing, private entrance, fan, ironing facilities, iron, dining area, sofa, seating area, game console - ps3, game console, flat-screen tv, cable channels, satellite channels, cd player, radio, grocery deliveries, airport shuttle(surcharge), shuttle service(surcharge), children television networks, books, dvds, music for children, board games/puzzles, books, dvds or music for children, daily maid service, ironing service, dry cleaning"
13,"airport transfer available/surcharge, bar/lounge, locker facility, local tour/travel desk, gardens, pick up and drop(rly station, bus stand, temple), bike on rent, car rental, yoga hall/classes, guide/sightseeing service, restaurant, room service"
14,"airport transfer available/surcharge, babysitting/ child care(surcharge), bar/lounge, doctor on call, parking facilities available, front desk, multi cuisine restaurant, local tour/travel desk, 24 hour front desk, wake-up call/service, massage services, bike on rent, extra person/child - share the same room, newspapers in lobby, room service(24 hours)"
15,"toilet paper, towels, tile/marble floor, fan, evening entertainment, breakfast in the room, luggage storage, ticket service, tour desk, daily maid service, ironing service, airport shuttle(surcharge), shuttle service(surcharge), car hire, non-smoking rooms, newspapers"
16,"airport transfer available/surcharge, beauty salon - on charge, currency exchange, doctor on call, internet access - surcharge, lift/elevator, lobby, parking facilities available, pets allowed, front desk, local tour/travel desk, doorman, welcome drinks, wake-up call/service, separate sitting area, smoking rooms, atm/banking, kitchen available(home cook food on request), free local calls, smoking area, veranda, veg/non veg kitchens separate, vegetarian food/jain food available, car rental, taxi services, food facility, newspapers in lobby, party hall, air/rail booking, std/isd, outdoor parking - non secured, parking facility, room service, full time operation for all 7 days, paid transfers, public restrooms"
17,"airport transfer available/surcharge, currency exchange, doctor on call, games zone, laundry service available, library, non smoking rooms, front desk, locker facility, local tour/travel desk, major credit cards accepted, 24 hour front desk, welcome drinks, power backup, express check-in/check-out, wake-up call/service, massage services, boating, pick up and drop(rly station, bus stand, temple), nature walk, camel ride, bike on rent, village visit(chargeable), car rental, express laundry, taxi services, city shuttle service, rooftop garden, newspapers in lobby, postal/parcel services, family room, room service(24 hours), spa services nearby, air/rail booking, baggage room, courier service, guide/sightseeing service"
18,"doctor on call, dry cleaning, laundry service available, lobby, parking facility"
19,"lobby, parking facilities available, 24 hour front desk"
20,"doctor on call, laundry service available, parking facilities available, front desk, internet access free, parking facility, room service"
21,"airport transfer available/surcharge, babysitting/ child care(surcharge), barbecue area, beauty salon - on charge, business center, concierge, currency exchange, doctor on call, dry cleaning, games zone, gift shop, internet access - surcharge, laundry service available, library, parking facilities available, pets allowed, front desk, multi cuisine restaurant, local tour/travel desk, hookah lounge, luggage storage, medical assistance available, welcome drinks, gardens, wedding services facility, dance performances(on demand), translation services, multi lingual staff, wake-up call/service, porter/bellhop, suitable for children, separate sitting area, grocery, conference facility, smoking rooms, access via exterior corridors, kitchen available(home cook food on request), multi - line phone, fire place available, picnic area, cell phone rental, massage services, safari, pick up and drop(rly station, bus stand, temple), skiing facility available, nature walk, smoking area, veranda, transfers available, bike on rent, veg/non veg kitchens separate, shopping drop facility(on fixed timings), in house events, vegetarian food/jain food available, extra person/child - share the same room, village visit(chargeable), car rental, express laundry, kids play zone, meditation room, self check - in, taxi services, badminttion court, campfire/bon fire, food facility, drivers rest room, internet access free, newspapers in lobby, children's park, family room, cook services, air/rail booking, std/isd, baggage room, ski storage, guide/sightseeing service, adjoining rooms, outdoor parking - secured, parking facility, internet access, room service, fishing, trekking, fire safety, recreation zone, anti-slip ramps, cctv, fire exit signs, first-aid kit at front desk, pest control facility, speciality restaurant, suites"
22,"doctor on call, dry cleaning, laundry service available, non smoking rooms, parking facilities available, front desk, 24 hour front desk, medical assistance available, welcome drinks, porter/bellhop, suitable for children, grocery, smoking rooms, atm/banking, vegetarian food/jain food available, car rental, taxi services, newspapers in lobby, electronic check-out, air/rail booking, baggage room, ro water purification system, parking facility, room service"
23,"internet access - surcharge, laundry service available, lobby, front desk, power backup, newspapers in lobby"
24,"airport transfer available/surcharge, currency exchange, doctor on call, health club/gym facility available, laundry service available, parking facilities available, front desk, multi cuisine restaurant, doorman, welcome drinks, power backup, gardens, multi lingual staff, porter/bellhop, separate sitting area, smoking rooms, picnic area, veranda, extra person/child - share the same room, car rental, taxi services, newspapers in lobby, party hall, std/isd, baggage room, courier service, adjoining rooms, ro water purification system, outdoor parking - secured, parking facility"
25,"airport transfer available/surcharge, business center, doctor on call, dry cleaning, laundry service available, lobby, non smoking rooms, parking facilities available, front desk, locker facility, 24 hour front desk, luggage storage, medical assistance available, welcome drinks, power backup, express check-in/check-out, translation services, wake-up call/service, free local calls, transfers available, taxi services, internet access free, newspapers in lobby, family room, baggage room, courier service, parking facility"
26,"doctor on call, internet access - surcharge, parking facilities available, front desk, tennis court, badminttion court, internet access free"
27,"airport transfer available/surcharge, business center, concierge, doctor on call, dry cleaning, laundry service available, parking facilities available, front desk, local tour/travel desk, 24 hour front desk, luggage storage, welcome drinks, wake-up call/service, coffee shop/cafe, taxi services, food facility, internet access free, room service(24 hours), parking facility"
28,"doctor on call, parking facilities available, front desk, 24 hour front desk, power backup, fax machine, karaoke, newspapers in lobby, room service(24 hours)"
29,"airport transfer available/surcharge, doctor on call, laundry service available, lobby, non smoking rooms, parking facilities available, front desk, major credit cards accepted, 24 hour front desk, medical assistance available, power backup, separate sitting area, extra person/child - share the same room, taxi services, food facility, internet access free, newspapers in lobby, ro water purification system, parking facility, room service"
30,"airport transfer available/surcharge, banquet facilities, doctor on call, dry cleaning, laundry service available, parking facilities available, front desk, non smoking hotel, major credit cards accepted, air-conditioning - central, power backup, exhibit space, separate sitting area, access via exterior corridors, pick up and drop(rly station, bus stand, temple), extra person/child - share the same room, express laundry, water dispenser available, taxi services, internet access free, newspapers in lobby, laptop available on hire, ro water purification system, outdoor parking - secured, room service, cctv, paid transfers, public restrooms, suites"
31,"parking facilities available, locker facility, power backup, gardens, parking facility"
32,"laundry service available, parking facilities available, front desk, power backup, food facility, room service, porter services available, public restrooms"
33,"beauty salon - on charge, billiards, bowling, business center"
34,"doctor on call, laundry service available, lobby, parking facilities available, power backup, gardens, transfers available, internet access free, newspapers in lobby, parking facility, room service"
35,"doctor on call, parking facilities available, table tennis, gardens, conference facility, pool table, internet access free, parking facility, room service"
36,"business center, concierge, currency exchange, disabled friendly facilities, doctor on call, dry cleaning, internet access - surcharge, laundry service available, lift/elevator, lobby, parking facilities available, front desk, multi cuisine restaurant, locker facility, non smoking hotel, local tour/travel desk, 24 hour front desk, luggage storage, doorman, air-conditioning - central, power backup, express check-in/check-out, gardens, wake-up call/service, suitable for children, separate sitting area, coffee shop/cafe, atm/banking, fax machine, kitchen available(home cook food on request), electronic/magnetic keys, cell phone rental, pick up and drop(rly station, bus stand, temple), extra person/child - share the same room, car rental, express laundry, water dispenser available, taxi services, city shuttle service, food facility, drivers rest room, newspapers in lobby, postal/parcel services, room service(24 hours), air/rail booking, courier service, internet/fax(reception area only), adjoining rooms, ro water purification system, outdoor parking - secured, parking facility"
37,"airport transfer available/surcharge, dry cleaning, laundry service available, parking facilities available, front desk, locker facility, power backup, atm/banking, smoking area, taxi services, internet access free, ro water purification system, outdoor parking - secured, parking facility, pest control facility, suites"
38,"business center, laundry service available, parking facilities available, front desk, locker facility, power backup, gardens, internet access free, outdoor parking - secured, parking facility"
39,"doctor on call, dry cleaning, laundry service available, non smoking rooms, parking facilities available, front desk, non smoking hotel, power backup, smoking rooms, smoking area, outdoor parking - secured, parking facility"
40,"doctor on call, internet access - surcharge, laundry service available, parking facilities available, local tour/travel desk, welcome drinks, power backup, gardens, dance performances(on demand), nature walk, veranda, horse ride(chargeable), car rental, newspapers in lobby, guide/sightseeing service, outdoor parking - secured, parking facility"
41,"airport transfer available/surcharge, doctor on call, dry cleaning, internet access - surcharge, laundry service available, library, lobby, parking facilities available, non smoking hotel, major credit cards accepted, luggage storage, medical assistance available, power backup, gardens, wake-up call/service, smoking rooms, vegetarian food/jain food available, extra person/child - share the same room, express laundry, newspapers in lobby, postal/parcel services, std/isd, outdoor parking - secured, parking facility"
42,"concierge, lobby, local tour/travel desk, parking facility"
43,"airport transfer available/surcharge, doctor on call, dry cleaning, internet access - surcharge, laundry service available, local tour/travel desk, internet access free"
44,"laundry service available, front desk, 24 hour front desk, welcome drinks, conference facility, food facility, newspapers in lobby, room service(24 hours), cook services, parking facility"
45,"beachfront, bicycle rental, massage, currency exchange, laundry"
46,"doctor on call, laundry service available, lobby, parking facilities available, front desk, locker facility, major credit cards accepted, 24 hour front desk, air-conditioning - central, power backup, gardens, atm/banking, kitchen available(home cook food on request), express laundry, water dispenser available, taxi services, drivers rest room, newspapers in lobby, room service(24 hours), outdoor parking - secured, parking facility, internet access"
47,"currency exchange, doctor on call, dry cleaning, laundry service available, lobby, parking facilities available, front desk, multi cuisine restaurant, major credit cards accepted, 24 hour front desk, welcome drinks, gardens, car rental, food facility, newspapers in lobby, room service(24 hours), parking facility"
48,babysitting/ child care(surcharge)
49,"toilet paper, linen, towels, bidet, towels/sheets(extra fee), bathroom, toilet, free toiletries, shared bathroom, hairdryer, mountain view, bbq facilities, terrace, children's high chair, kitchenware, cycling, bicycle rental, children's playground, kid meals, restaurant(buffet), restaurant(à la carte), breakfast in the room, lockers, private check-in/check-out, luggage storage, ticket service, tour desk, daily maid service, trouser press, shoeshine, ironing service, dry cleaning, fax/photocopying, business centre, airport shuttle(surcharge), shuttle service(surcharge), non-smoking throughout, hardwood/parquet floors, soundproofing, car hire, packed lunches, soundproof rooms, bridal suite, vip room facilities, barber/beauty shop, non-smoking rooms"
50,"doctor on call, internet access - surcharge, laundry service available, lobby, parking facilities available, front desk, multi cuisine restaurant, locker facility, welcome drinks, power backup, gardens, jacuzzi, internet access free, room service(24 hours), ro water purification system, outdoor parking - secured, parking facility, room service, public restrooms, speciality restaurant"
51,"airport transfer available/surcharge, doctor on call, parking facilities available, pets allowed, gardens, suitable for children, separate sitting area, kitchen available(home cook food on request), extra person/child - share the same room, car rental, food facility, family room, cook services, parking facility"
52,"bathroom, toilet, fence around pool, outdoor pool, library, children's playground, sofa, seating area, flat-screen tv, kid meals, lockers, luggage storage, children television networks, daily maid service, trouser press, ironing service, dry cleaning, airport shuttle(surcharge), vending machine(drinks), shuttle service(surcharge), air conditioning, heating, car hire"
53,"swimming pool, bar/lounge, barbecue area, internet access - surcharge, laundry service available, parking facilities available, locker facility, table tennis, hookah lounge, 24 hour front desk, doorman, medical assistance available, welcome drinks, power backup, gardens, dance performances(on demand), catering, suitable for children, grocery, coffee shop/cafe, kitchen available(home cook food on request), massage services, poolside bar, skiing facility available, nature walk, veranda, open air restaurant/dining, veg/non veg kitchens separate, horse ride(chargeable), shopping drop facility(on fixed timings), in house events, vegetarian food/jain food available, car rental, badminttion court, pool cafe, karaoke, campfire/bon fire, food facility, children's park, postal/parcel services, room service(24 hours), cook services, air/rail booking, guide/sightseeing service, outdoor parking - secured, parking facility, restaurant, room service, fishing, full time operation for all 7 days, porter services available, public restrooms, security at all hotel entrances, speciality restaurant, suites"
54,"airport transfer available/surcharge, doctor on call, parking facilities available, suitable for children, grocery, extra person/child - share the same room, car rental"
55,"swimming pool, barbecue area, business center, currency exchange, doctor on call, gift shop, laundry service available, library, lobby, non smoking rooms, parking facilities available, front desk, tennis court, local tour/travel desk, valet service, welcome drinks, power backup, gardens, multi lingual staff, suitable for children, disabled friendly rooms, kitchen available(home cook food on request), free local calls, nature walk, smoking area, veranda, open air restaurant/dining, bike on rent, vegetarian food/jain food available, extra person/child - share the same room, village visit(chargeable), car rental, express laundry, kids play zone, taxi services, badminttion court, campfire/bon fire, food facility, drivers rest room, yoga hall/classes, children's park, family room, internet/fax(reception area only), outdoor parking - secured, parking facility, restaurant, room service"
56,"currency exchange, doctor on call, games zone, health club/gym facility available, internet access - surcharge, laundry service available, local tour/travel desk, major credit cards accepted, gardens, car rental, campfire/bon fire, room service(24 hours), std/isd"
57,"doctor on call, laundry service available, local tour/travel desk, power backup, gardens, parking facility"
58,"laundry service available, parking facilities available, front desk, locker facility, 24 hour front desk, gardens, catering, veg/non veg kitchens separate, car rental, badminttion court, mini theatre, karaoke, food facility, room service(24 hours), cook services, air/rail booking, parking facility, restaurant, room service"
